id,file_id,unique_file_id,artists_id,uploaded_by,chat_id,message_id,likes_count,dislikes_count,reactions_count
4692,5850319951977515074,-8635967702670560055,2080,438071472030,-1004482228130,8598,2,0,2
4696,5834710005009352490,1962253693873287258,2082,315631053874,-1004482228130,8602,2,0,2
4700,5301082257174299619,219141705246826438,"67,2074,68",756372794491,-1004482228130,8607,5,0,5
4714,5350324508194506520,2957967712360170766,1303,756372794491,-1004482228130,8623,6,0,6
4703,5346151453545202662,-1322465522731033952,67,756372794491,-1004482228130,8610,2,0,2
4705,5456525550342375758,-4480488566897472075,"67,68","263021605118,288354675743",-1004482228130,8613,4,0,4
4708,5832245028788899131,-2350263130228770052,165,"756372794491,812649641749",-1004482228130,8616,8,0,8
4704,5301297550999946165,3971980698504809066,67,756372794491,-1004482228130,8612,4,0,4
4711,5470101752986473784,-2499645783373229810,670,"318509972361,549265328193",-1004482228130,8619,10,0,10
11004,5902022965855262859,-6490684685068547437,3965,179161809007,-1004482228130,17954,3,0,3
10215,5188203979695196859,-7680734069564154694,1033,"869955988052,863329919180",-1004482228130,16718,12,0,12
10221,6032850723413170145,-9175152966725849807,858,210965998732,-1004482228130,16727,6,0,6
1556,5884158852546433381,-8303951237758698943,507,929819142165,-1004482228130,4890,3,0,3
4724,5420326165812358041,3724962213750615222,1217,315631053874,-1004482228130,8636,0,0,0
4726,5983412166617732558,8768340885394968010,"839,125",699692779863,-1004482228130,8640,0,0,0
4181,5825437840632191278,1604189759455678046,1934,"929819142165,426362434662,426362434662",-1004482228130,7971,2,0,2
4739,5945161303843675029,8816956315532088998,1272,929819142165,-1004482228130,8656,3,0,3
4743,5366252385821794073,-8633302258817906089,2018,117886705769,-1004482228130,8660,0,0,0
4725,6001299859297013375,-5852326444853593120,2095,218093200747,-1004482228130,8638,2,0,2
4741,763504293121916559,5225085494838508778,2101,123317730197,-1004482228130,8658,7,0,7
4720,5285053507945106981,-87255191183342973,2091,438071472030,-1004482228130,8630,1,0,1
4723,5981160366804047802,-597855605092214028,2094,644081273478,-1004482228130,8635,2,0,2
